Word,Count
the,207
*,156
to,65
of,65
,56
for,53
is,53
a,51
=,43
@param,35
in,34
},34
question,32
exam,31
array,29
and,28
new,25
number,25
//,24
if,24
{,23
student,23
catch,22
TODO,21
an,20
be,20
from,20
Auto-generated,20
<co>,20
int,19
block,19
This,17
response,16
each,16
with,16
create,15
will,15
used,15
all,14
name,14
QR,14
just,14
+,14
actual,14
this,13
questions,13
public,13
class,12
String,12
answer,12
get,12
not,12
are,11
file,11
through,11
on,10
static,10
numbers,10
that,10
responses,10
it,9
holds,9
which,9
points,9
course,9
otherwise,9
generate,9
read,8
call,8
\question_text,\,8
when,8
or,8
method,8
\"\\,8
private,8
testing,8
set,8
\exam_id,\,8
@return,7
codes,7
i,7
add,7
PDF,7
void,7
by,7
pages,7
I,7
open,6
no,6
convert,6
choices,6
debugging,6
coordinates,6
choice,6
next,6
test,6
true,6
also,6
list,6
correct,6
bounds,6
page,6
only,6
strings,6
database,6
found,6
manual,6
constructor,6
-,6
\point_value,\,6
It,6
code,6
normal,5
image,5
so,5
here,5
items,5
was,5
\question_id,\,5
false,5
possible,5
If,5
as,5
needed,5
pdf,5
ordering,5
object,5
multiple,5
item,5
can,5
grader,5
return,5
The,5
loop:,4
Create,4
grade,4
barcode,4
src,4
don't,4
Returns,4
(int,4
\pixels"\,\,4
accepted,4
e),4
qrcode,4
created,4
Student,4
into,4
rectangle,4
added,4
given,4
it's,4
make,4
converter,4
Response,4
they,4
iterates,4
Exam,4
>,4
<sb>,4
text,4
@throws,4
HTML,4
student's,4
think,4
e,4
\Otherwise,\,3
\super(question_id,\,3
Generates,3
classes,3
ID,3
changed,3
stock,3
stub,3
\questionText,\,3
these,3
File,3
necessary,3
-1,3
True,3
preferences,3
piece,3
info,3
exam_id,3
0),3
string,3
particular,3
key,3
isn't,3
q,3
:,3
removed,3
\pointValue,\,3
fill,3
getQuestions,3
result,3
Tavares,3
(Exception,3
directory,3
following,3
combobox,3
there,3
\db"\);\,3
2,3
\questions,\,3
now,3
Randomize,3
qrCode,3
try,3
exams,3
going,3
MultipleChoiceQuestion,3
specified,3
images,3
user,3
Alyssa,3
generates,3
have,3
called,3
frame,3
error,3
e.printStackTrace();,3
them,3
up,3
goes,3
information,3
because,3
Provides,3
gets,3
has,3
\System.out.println("\setting\,3
should,3
<SB>,3
value,3
needed;,3
breaks,2
\null,\,2
//debugging,2
qrStrings,2
increase,2
answers,2
right,2
\information,\,2
[0],2
\"\.gif\"\></img>\,2
use,2
TestGUI:,2
\System.out.println("\added\,2
exceptions,2
recorded,2
main(String[],2
grades,2
\ID,\,2
existing,2
content,2
either,2
successfully,2
String[],2
System.currentTimeMillis();,2
chosen,2
\number,\,2
HTMLGenerator,2
ArrayList<String>,2
identified,2
bufferedimages,2
ArrayList<Response>,2
\=\"\"\\,2
more,2
\ordering,\,2
shapes,2
doc,2
making,2
version,2
combo,2
box,2
correctChoice,2
DatabaseImporter,2
she,2
such,2
where,2
other,2
awarded,2
been,2
For,2
some,2
cannot,2
responsible,2
qrCodes,2
DocumentException,2
rest,2
(val.length(),2
than,2
Outside,2
boundary,2
Add,2
before,2
see,2
creation,2
point_value){,2
constants,2
answer_id,2
reason,2
arrayList,2
id,2
-1;,2
writer,2
drawing,2
studentID,2
(empty),2
val,2
date,2
TrueOrFalseQuestion(int,2
args),2
questions.add(q);,2
examID,2
mc,2
exam_id);,2
qr,2
0,2
adding,2
HTMLGenerator(e);,2
\r,\,2
main(String,2
Question,2
GUI,2
showing,2
line,2
False,2
header,2
null,2
System.out.println(q.toString());,2
db,2
since,2
document,2
wanted,2
after,2
work,2
attempt,2
\question"\);\,2
Inside,2
random,2
question_id,2
but,2
Used,2
TO,2
two,2
parts:,2
interpreter,2
questionNum,2
\MultipleChoiceQuestion("\Why\,2
then,2
==,2
QRCode,2
know,2
answerNum,2
size,2
load,2
I'm,2
declare,2
loop,2
Is,2
\directory"\);\,2
Shawn,2
Course,2
ExamGenerator.getExam();,2
already,2
draw,2
index,2
\found,\,2
dropdown,2
go,2
everything,2
\"\Because\,2
define,2
1,2
deleted,2
examNumberTextField.getText().trim();,2
returned,2
long,2
JPEG,2
any,2
one,2
really,2
(ie,2
point_value);,2
MultipleChoiceQuestion(int,2
calls,2
IOException,2
write,2
out,2
true);,2
files,2
Index,2
were,2
why,2
we,2
point,2
is_answer,2
gen,2
\course,\,2
way,2
versionNum,2
possibilities,2
Overrides,2
0;,2
splits,2
//here,2
path,2
[1],2
rect,2
manually,2
arrays,2
v,2
Paragraph[],1
Gets,1
CLASS,1
writes,1
universal,1
\student,\,1
question_id;,1
true/false,1
correctChoice){,1
never,1
i++),1
associate,1
\TrueOrFalseQuestion(question_id,\,1
RESPONSE,1
\Choice,\,1
converter.convert(exam);,1
\a1,\,1
\Exam("\Test\,1
fileDirectory,1
\file."\);\,1
GETTERS,1
like,1
(i%6==0){,1
declared;,1
compared,1
missing),1
source,1
document.open();,1
instanceof,1
small,1
\2014"\);\,1
\QRCodeHandler.generateQRCode("\1"\,\,1
PDFtoImage,1
args[]){,1
ordered,1
\Course"\,\,1
if(question_type,1
filepath),1
type,1
sure,1
\"\150\,1
End,1
QRStringInterpreter.interpret(x);,1
main,1
\exam.generateExamDocument("\wtf.pdf"\);\,1
grouped,1
exam.addQuestion(q1);,1
what,1
\pixels!"\,\,1
currently,1
\output.println("\<tr><td><img\,1
object:,1
static),1
ex),1
fucking,1
correctChoice;,1
barcodes,1
cast,1
document.setHeader(header);,1
