File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Users\Shawnski\Documents\GitHub\TestManager\src\AdminGUI.java,87,61,49,1,25,0,1,2,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\AdminIDPanel.java,37,20,16,1,13,0,4,12,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Answer.java,40,24,20,1,14,0,2,29,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ClassesGUI.java,47,30,25,0,15,0,2,15,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\clintdemo.java,60,50,42,1,3,0,7,49,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Course.java,77,47,34,10,14,0,16,103,3,10
E:\Users\Shawnski\Documents\GitHub\TestManager\src\DatabaseImporter.java,293,183,152,20,53,9,57,342,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\errorDisplay.java,65,25,22,0,16,0,24,105,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Exam.java,165,90,68,12,24,0,51,208,5,35
E:\Users\Shawnski\Documents\GitHub\TestManager\src\examChoosenPanel.java,38,21,17,1,12,0,5,16,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ExamGenerator.java,129,105,99,4,13,0,11,90,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\FileManager.java,22,17,14,0,4,0,1,4,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\GhostRenderer.java,104,76,66,8,19,0,9,46,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Grader.java,118,80,57,12,9,0,29,281,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\GradingTester.java,17,13,10,0,4,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\HTMLGenerator.java,228,170,122,26,23,0,35,230,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\HTMLGeneratorJS.java,35,25,14,3,8,0,2,17,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ImageViewer.java,24,20,14,1,4,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ManualGradeHandler.java,63,43,30,5,12,0,8,64,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ManualGrader.java,84,41,40,0,20,0,23,101,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ManuallyGradedItem.java,55,32,24,6,8,0,15,136,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ManuallyGradedMCItem.java,34,28,18,6,6,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ManuallyGradedStudentID.java,19,13,7,2,6,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\MassGenerator.java,73,41,31,4,12,0,20,100,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\MissingItem.java,24,18,13,3,6,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\MultipleChoiceQuestion.java,96,48,33,8,14,1,34,193,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\OpenEndedQuestion.java,26,19,12,3,7,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\OpenResponseQuestion.java,45,13,8,2,28,0,4,21,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\PDFtoImage.java,87,42,33,2,11,0,34,176,2,10
E:\Users\Shawnski\Documents\GitHub\TestManager\src\PreferencesManager.java,122,100,82,6,13,0,9,40,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\QRCodeHandler.java,102,82,66,10,18,1,2,28,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\QRStringInterpreter.java,167,105,83,9,27,18,35,403,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Question.java,36,18,14,2,11,0,7,18,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\RectangleBoundary.java,67,50,34,9,12,0,5,36,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\rectDraw.java,28,20,17,0,6,0,2,7,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Response.java,125,85,56,14,32,0,8,34,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\ResultSet.java,90,54,41,15,9,5,27,188,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\runner.java,58,25,21,1,10,0,23,108,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\SelectRosterFile.java,174,136,113,7,27,1,11,27,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Student.java,35,25,18,2,10,0,0,0,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\Tester.java,60,10,8,0,7,0,43,116,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\TestGUI.java,52,36,30,0,12,0,4,24,0,0
E:\Users\Shawnski\Documents\GitHub\TestManager\src\TrueOrFalseQuestion.java,63,29,21,4,11,0,23,138,0,0
